audit_id,timestamp,action,document_id,document_type,actor_id,actor_role,outcome
aud-c1d7e0b811dc4a,2026-04-28T19:49:40.377819+00:00,mask_pii,inv-bd25dccf,cv,recruiter-01,system,success
aud-45a5244ffb5f4b,2025-05-23T19:49:40.377825+00:00,export,cv-c0d4c9d9,cv,admin-01,user,success
aud-fa6a0f1effb24a,2025-07-26T19:49:40.377831+00:00,upload,cv-48b60d69,cv,system,user,success
aud-59e797b4dc6942,2025-11-18T19:49:40.377836+00:00,upload,inv-b169be5b,cv,user-001,admin,success
aud-fd30813bdb9f40,2025-06-20T19:49:40.377842+00:00,dsr_received,inv-ff4b8a02,cv,user-002,recruiter,success
aud-f2a56e1d9c0440,2025-08-09T19:49:40.377848+00:00,dsr_received,inv-52f85d09,cv,system,system,success
aud-83b2733af41a48,2026-03-28T19:49:40.377854+00:00,mask_pii,inv-f4ad676e,invoice,recruiter-01,admin,success
aud-5e513baf0ee341,2025-08-31T19:49:40.377860+00:00,delete,cv-9cc1505b,invoice,system,recruiter,success
aud-7dbcea6f9c944e,2025-07-10T19:49:40.377865+00:00,mask_pii,inv-0ab2870f,invoice,user-001,system,success
aud-992300ddb41649,2025-09-03T19:49:40.377873+00:00,manual_review,inv-614cd422,cv,recruiter-01,admin,success
aud-f0da586821814d,2026-03-25T19:49:40.377878+00:00,mask_pii,cv-62da2a35,invoice,system,recruiter,success
aud-6c808cbfc80f4d,2025-08-13T19:49:40.377890+00:00,delete,inv-1be6fe05,cv,system,admin,success
aud-725cf9a4206e45,2026-01-03T19:49:40.377898+00:00,export,cv-c65f3a2f,invoice,system,user,success
aud-557f4f701f5043,2025-05-23T19:49:40.377905+00:00,view,cv-21e7ae64,cv,system,recruiter,success
aud-4f99dff0168a4a,2026-02-01T19:49:40.377920+00:00,mask_pii,cv-8bcd790d,invoice,system,user,success
aud-2f6abc2d74c343,2026-03-08T19:49:40.377927+00:00,mask_pii,cv-ba36d436,invoice,admin-01,recruiter,success
aud-1d7eb3d38c6a4a,2026-03-08T19:49:40.377933+00:00,dsr_received,cv-35b0a805,invoice,admin-01,recruiter,success
aud-027765e50bfd48,2025-09-28T19:49:40.377939+00:00,delete,cv-1202c561,invoice,system,admin,success
aud-230e7cbccbd549,2026-04-08T19:49:40.377946+00:00,consent_grant,inv-5477ed2e,invoice,user-002,system,success
aud-6ada2d51e66748,2025-12-07T19:49:40.377952+00:00,extract,inv-ba0b1288,invoice,admin-01,admin,success
aud-f6527fde21104d,2025-06-29T19:49:40.377958+00:00,export,inv-491d0427,cv,recruiter-01,admin,success
aud-70aec1398dab41,2025-07-14T19:49:40.377965+00:00,consent_grant,cv-c3e91bb5,invoice,admin-01,user,success
aud-b756dd9560cc43,2026-01-25T19:49:40.377971+00:00,export,cv-c0f39bdb,invoice,user-002,system,success
aud-1381e4ba571644,2026-04-03T19:49:40.377977+00:00,view,cv-d625604f,cv,admin-01,admin,success
aud-dab6f9c671c343,2026-01-13T19:49:40.377984+00:00,mask_pii,inv-23fb9658,cv,user-001,system,success
aud-d0ed747bda9044,2025-06-25T19:49:40.377990+00:00,review_approved,inv-332fc224,invoice,recruiter-01,user,success
aud-d6b081da62c449,2025-06-14T19:49:40.377999+00:00,view,inv-e6877e32,invoice,user-001,user,success
aud-fb87ca5d4dfd47,2025-12-05T19:49:40.378005+00:00,review_approved,inv-b503ac61,cv,recruiter-01,user,success
aud-08ea21c348394c,2025-12-07T19:49:40.378011+00:00,consent_grant,inv-e70a2096,cv,recruiter-01,user,success
aud-7376f2ee99254b,2025-10-02T19:49:40.378017+00:00,delete,inv-7dabd66b,invoice,user-001,system,success
aud-033f64169fd944,2025-07-21T19:49:40.378023+00:00,review_approved,inv-654783b1,cv,admin-01,user,success
aud-1e772d9ad1fe41,2026-02-11T19:49:40.378032+00:00,dsr_received,inv-0eb65767,cv,system,system,success
aud-215add3daec943,2025-09-30T19:49:40.378038+00:00,dsr_received,inv-868faa52,cv,system,admin,success
aud-d8e24370b62d42,2025-06-02T19:49:40.378044+00:00,extract,inv-e41b832f,cv,recruiter-01,admin,success
aud-e8021b2724fe49,2025-10-18T19:49:40.378051+00:00,manual_review,cv-51ed4baa,invoice,system,recruiter,success
aud-7eeb2d563f864c,2025-10-17T19:49:40.378057+00:00,manual_review,inv-06f71d7d,invoice,admin-01,admin,success
aud-9a12f8fd2dfc43,2026-02-04T19:49:40.378064+00:00,manual_review,cv-b06af4ad,cv,recruiter-01,user,success
aud-bc269628f9fe4b,2025-08-03T19:49:40.378070+00:00,view,inv-d23eb9f8,cv,recruiter-01,user,failure
aud-a3dc1f2a02b340,2025-06-23T19:49:40.378076+00:00,review_approved,inv-9459c0e0,invoice,system,user,success
aud-644d7912edb64b,2026-03-25T19:49:40.378084+00:00,export,inv-83ba5a0c,invoice,recruiter-01,user,success
aud-f56ab6d24ea44f,2026-02-22T19:49:40.378091+00:00,dsr_received,inv-b96584a7,cv,admin-01,recruiter,success
aud-73f7ce59b26749,2025-09-06T19:49:40.378097+00:00,dsr_received,cv-936ed6bf,invoice,recruiter-01,system,success
aud-ed5186c1d67740,2025-08-24T19:49:40.378104+00:00,view,inv-957a6807,cv,recruiter-01,recruiter,success
aud-35f4e9f5de3e40,2025-08-25T19:49:40.378111+00:00,mask_pii,inv-93179206,cv,system,admin,success
aud-d16e228f9d854d,2025-09-25T19:49:40.378117+00:00,manual_review,inv-63627e3a,cv,admin-01,admin,success
aud-14183f636d7844,2025-11-28T19:49:40.378122+00:00,export,inv-560f6211,invoice,admin-01,admin,success
aud-398c0c89eeea41,2025-10-13T19:49:40.378128+00:00,upload,cv-556398bb,cv,recruiter-01,admin,success
aud-29d553bf1e2f4a,2025-06-12T19:49:40.378134+00:00,view,inv-aa4ec95f,invoice,user-002,recruiter,success
aud-21222777aa744a,2025-09-28T19:49:40.378139+00:00,extract,inv-d915e83c,cv,user-001,system,success
aud-018c457c57814c,2025-06-10T19:49:40.378145+00:00,view,cv-ef6ac108,cv,system,admin,success
aud-be1573d6b55049,2025-11-24T19:49:40.378152+00:00,manual_review,cv-bbef09c7,cv,recruiter-01,user,success
aud-b997e66b34af4a,2026-01-11T19:49:40.378158+00:00,mask_pii,inv-8566ff92,invoice,recruiter-01,user,success
aud-47f9f733e6454d,2025-05-16T19:49:40.378168+00:00,extract,inv-1902a70c,cv,user-001,user,success
aud-65f8ce7a78704f,2026-04-13T19:49:40.378174+00:00,mask_pii,cv-df5bd79e,cv,user-002,system,success
aud-30814c7b89f34f,2025-07-26T19:49:40.378179+00:00,view,cv-30499863,invoice,admin-01,admin,success
aud-551858c689214c,2026-01-08T19:49:40.378185+00:00,dsr_received,inv-d71a53a0,invoice,user-002,admin,success
aud-e5927ea0da484d,2025-09-18T19:49:40.378192+00:00,mask_pii,inv-dd7f84ce,cv,system,system,success
aud-cf692c1bb55744,2025-11-16T19:49:40.378198+00:00,review_approved,cv-5c0eab57,cv,system,admin,success
aud-23f83b5486464e,2026-01-30T19:49:40.378203+00:00,consent_grant,inv-8abea411,invoice,user-002,admin,success
aud-bad149e6450544,2025-07-21T19:49:40.378209+00:00,mask_pii,inv-2c6b31f7,cv,user-001,admin,success
aud-53ce105e181d49,2025-07-26T19:49:40.378215+00:00,upload,inv-613c7ec3,cv,system,system,success
aud-e13b2870f03644,2025-11-12T19:49:40.378221+00:00,export,inv-6a55fd69,cv,user-002,user,success
aud-27d5d0e0d13141,2025-06-15T19:49:40.378227+00:00,upload,cv-7569231d,cv,user-001,recruiter,success
aud-3c860f5403034a,2026-03-26T19:49:40.378232+00:00,mask_pii,cv-f4139a80,cv,user-002,system,success
aud-447c26240ad14e,2025-08-08T19:49:40.378238+00:00,delete,inv-6f6372ee,cv,user-002,recruiter,success
aud-89c66795469d4e,2025-09-07T19:49:40.378246+00:00,mask_pii,inv-9d1e941a,cv,user-001,admin,success
