document_id,original_filename,uploaded_at,vendor_name,country_detected,language_detected,currency,invoice_number,invoice_date,due_date,vendor_iban,vendor_tax_id,subtotal_net,vat_rate,vat_amount,total_gross,overall_confidence,requires_manual_review,review_status,processing_status,low_confidence_fields,pii_masked,retention_until
inv-ff3229e6a6,rechnung_011.pdf,2026-03-20T19:49:40.376350+00:00,Kaufland E-Commerce GmbH,DE,de,EUR,RE-2024-00011,2026-01-11,2026-02-10,DE91200000001234567890,DE814444444,11710,7.0,819.7,12529.7,0.98,False,auto_approved,complete,[],False,2033-01-09
inv-134d129165,rechnung_012.pdf,2026-02-16T19:49:40.376360+00:00,Wien Tech Consulting KG,AT,de,EUR,RE-2024-00012,2025-11-05,2025-12-05,AT611904300234573201,ATU12345678,4530,20.0,906.0,5436.0,0.83,False,auto_approved,complete,[],False,2032-11-03
inv-afac74d521,rechnung_013.pdf,2025-05-26T19:49:40.376370+00:00,Weber & Söhne Steuerberatung,DE,de,EUR,RE-2024-00013,2025-05-16,2025-06-15,DE21500105175688870004,DE815555555,5650,19.0,1073.5,6723.5,0.84,False,auto_approved,complete,[],False,2032-05-14
inv-fb5f8352a7,rechnung_014.pdf,2026-01-05T19:49:40.376380+00:00,Swiss Re Management AG,CH,it,CHF,RE-2024-00014,2025-08-10,2025-09-09,CH5604835012345678009,CHE-234.567.890 MWST,1540,8.1,124.74,1664.74,0.83,False,auto_approved,complete,[],False,2032-08-08
inv-365f9221bb,rechnung_015.pdf,2025-05-23T19:49:40.376389+00:00,Siemens Digital Industries,DE,de,EUR,RE-2024-00015,2025-06-17,2025-07-17,DE87200400600228481800,DE812345678,7200,19.0,1368.0,8568.0,0.67,True,manual_review,manual_review,"[""invoice_date""]",False,2032-06-15
inv-ffdc4fac0b,rechnung_016.pdf,2026-04-24T19:49:40.376400+00:00,Swiss Re Management AG,CH,de,CHF,RE-2024-00016,2026-04-12,2026-05-12,CH5604835012345678009,CHE-234.567.890 MWST,3680,8.1,298.08,3978.08,0.69,True,manual_review,manual_review,"[""invoice_date""]",False,2033-04-10
inv-e810076227,rechnung_017.pdf,2025-11-30T19:49:40.376410+00:00,SAP Beratung GmbH,DE,de,EUR,RE-2024-00017,2025-07-24,2025-08-23,DE89500105178221550006,DE812222222,6320,19.0,1200.8,7520.8,0.58,True,manual_review,manual_review,"[""vendor_name"", ""total_gross""]",False,2032-07-22
inv-fbc940135b,rechnung_018.pdf,2025-09-18T19:49:40.376422+00:00,Bayer Business Services,DE,de,EUR,RE-2024-00018,2025-06-15,2025-07-15,DE21200400600228481800,DE813333333,10000,19.0,1900.0,11900.0,0.72,True,manual_review,manual_review,"[""invoice_date""]",False,2032-06-13
inv-7f6ebe4420,rechnung_019.pdf,2025-08-08T19:49:40.376432+00:00,Bosch Rexroth AG,DE,de,EUR,RE-2024-00019,2025-07-27,2025-08-26,DE27200505501265584170,DE814711817,4340,19.0,824.6,5164.6,0.66,True,manual_review,manual_review,"[""invoice_date""]",False,2032-07-25
inv-e140bc64db,rechnung_020.pdf,2025-10-18T19:49:40.376442+00:00,Müller & Partner GmbH,DE,de,EUR,RE-2024-00020,2025-07-16,2025-08-15,DE89370400440532013000,DE123456789,11330,19.0,2152.7,13482.7,0.74,True,manual_review,manual_review,"[""invoice_date""]",False,2032-07-14
inv-0a096ff54b,rechnung_021.pdf,2025-08-31T19:49:40.376513+00:00,Weber & Söhne Steuerberatung,DE,de,EUR,RE-2024-00021,2025-08-23,2025-09-22,DE21500105175688870004,DE815555555,3680,19.0,699.2,4379.2,0.99,False,auto_approved,complete,[],False,2032-08-21
inv-42a9755437,rechnung_022.pdf,2025-06-23T19:49:40.376526+00:00,Bayer Business Services,DE,de,EUR,RE-2024-00022,2026-02-21,2026-03-23,DE21200400600228481800,DE813333333,11460,19.0,2177.4,13637.4,0.93,False,auto_approved,complete,[],False,2033-02-19
inv-5596ad283f,rechnung_023.pdf,2025-10-25T19:49:40.376538+00:00,Siemens Digital Industries,DE,de,EUR,RE-2024-00023,2026-04-08,2026-05-08,DE87200400600228481800,DE812345678,11990,19.0,2278.1,14268.1,0.74,True,manual_review,manual_review,"[""invoice_date""]",False,2033-04-06
inv-177170cdce,rechnung_024.pdf,2025-07-31T19:49:40.376549+00:00,Wien Tech Consulting KG,AT,de,EUR,RE-2024-00024,2026-01-02,2026-02-01,AT611904300234573201,ATU12345678,9140,20.0,1828.0,10968.0,0.76,False,auto_approved,complete,[],False,2032-12-31
inv-a3f3a955ae,rechnung_025.pdf,2025-12-25T19:49:40.376563+00:00,Müller & Partner GmbH,DE,de,EUR,RE-2024-00025,2025-08-09,2025-09-08,DE89370400440532013000,DE123456789,10360,19.0,1968.4,12328.4,0.6,True,manual_review,manual_review,"[""vendor_name"", ""total_gross""]",False,2032-08-07
inv-cffbd10677,rechnung_026.pdf,2026-05-09T19:49:40.376576+00:00,Swiss Re Management AG,CH,fr,CHF,RE-2024-00026,2026-02-19,2026-03-21,CH5604835012345678009,CHE-234.567.890 MWST,5430,8.1,439.83,5869.83,0.68,True,manual_review,manual_review,"[""invoice_date""]",False,2033-02-17
inv-01fba7fb19,rechnung_027.pdf,2026-03-17T19:49:40.376587+00:00,Müller & Partner GmbH,DE,de,EUR,RE-2024-00027,2025-08-24,2025-09-23,DE89370400440532013000,DE123456789,14590,19.0,2772.1,17362.1,0.89,False,auto_approved,complete,[],False,2032-08-22
inv-3a28e2d8dd,rechnung_028.pdf,2026-02-21T19:49:40.376598+00:00,Zürich Data Solutions AG,CH,de,CHF,RE-2024-00028,2025-07-03,2025-08-02,CH9300762011623852957,CHE-123.456.789 MWST,4830,8.1,391.23,5221.23,0.83,False,auto_approved,complete,[],False,2032-07-01
inv-473089bee5,rechnung_029.pdf,2026-05-10T19:49:40.376609+00:00,Weber & Söhne Steuerberatung,DE,de,EUR,RE-2024-00029,2025-08-12,2025-09-11,DE21500105175688870004,DE815555555,11560,19.0,2196.4,13756.4,0.79,False,auto_approved,complete,[],False,2032-08-10
inv-0abd14344c,rechnung_030.pdf,2026-01-08T19:49:40.376620+00:00,ABB Schweiz AG,CH,fr,CHF,RE-2024-00030,2025-11-06,2025-12-06,CH5481000000012345678,CHE-567.890.123 MWST,5200,8.1,421.2,5621.2,0.56,True,manual_review,manual_review,"[""vendor_name"", ""total_gross""]",False,2032-11-04
inv-be282fea92,rechnung_031.pdf,2026-03-28T19:49:40.376630+00:00,Deutsche Telekom IT GmbH,DE,de,EUR,RE-2024-00031,2026-03-31,2026-04-30,DE68210501700012345678,DE811234567,3990,19.0,758.1,4748.1,0.8,False,auto_approved,complete,[],False,2033-03-29
inv-4c0f521e79,rechnung_032.pdf,2026-03-07T19:49:40.376639+00:00,ÖBB Technologie GmbH,AT,de,EUR,RE-2024-00032,2025-08-11,2025-09-10,AT242011128088012345,ATU34567890,12330,10.0,1233.0,13563.0,0.98,False,auto_approved,complete,[],False,2032-08-09
inv-0099d34f43,rechnung_033.pdf,2025-12-26T19:49:40.376651+00:00,Müller & Partner GmbH,DE,de,EUR,RE-2024-00033,2026-02-15,2026-03-17,DE89370400440532013000,DE123456789,10070,19.0,1913.3,11983.3,0.97,False,auto_approved,complete,[],False,2033-02-13
inv-f6d1668fc1,rechnung_034.pdf,2025-08-07T19:49:40.376663+00:00,Erste Group Services GmbH,AT,de,EUR,RE-2024-00034,2026-01-22,2026-02-21,AT611904300234573201,ATU56789012,13150,20.0,2630.0,15780.0,0.74,True,manual_review,manual_review,"[""invoice_date""]",False,2033-01-20
inv-36f2ccb386,rechnung_035.pdf,2025-10-31T19:49:40.376692+00:00,ABB Schweiz AG,CH,it,CHF,RE-2024-00035,2025-06-01,2025-07-01,CH5481000000012345678,CHE-567.890.123 MWST,3420,8.1,277.02,3697.02,0.69,True,manual_review,manual_review,"[""invoice_date""]",False,2032-05-30
inv-ae9000fa1e,rechnung_036.pdf,2026-01-15T19:49:40.376710+00:00,Erste Group Services GmbH,AT,de,EUR,RE-2024-00036,2026-01-04,2026-02-03,AT611904300234573201,ATU56789012,13540,20.0,2708.0,16248.0,0.75,False,auto_approved,complete,[],False,2033-01-02
inv-1f12294753,rechnung_037.pdf,2025-07-13T19:49:40.376724+00:00,SAP Beratung GmbH,DE,de,EUR,RE-2024-00037,2026-01-13,2026-02-12,DE89500105178221550006,DE812222222,5400,19.0,1026.0,6426.0,0.81,False,auto_approved,complete,[],False,2033-01-11
inv-57b53c4e40,rechnung_038.pdf,2026-01-13T19:49:40.376735+00:00,Kaufland E-Commerce GmbH,DE,de,EUR,RE-2024-00038,2026-04-10,2026-05-10,DE91200000001234567890,DE814444444,600,7.0,42.0,642.0,0.86,False,auto_approved,complete,[],False,2033-04-08
inv-873979b9ca,rechnung_039.pdf,2025-08-20T19:49:40.376748+00:00,SAP Beratung GmbH,DE,de,EUR,RE-2024-00039,2026-04-04,2026-05-04,DE89500105178221550006,DE812222222,13630,19.0,2589.7,16219.7,0.93,False,auto_approved,complete,[],False,2033-04-02
inv-72b7643471,rechnung_040.pdf,2026-03-04T19:49:40.376759+00:00,Weber & Söhne Steuerberatung,DE,de,EUR,RE-2024-00040,2025-08-07,2025-09-06,DE21500105175688870004,DE815555555,4540,19.0,862.6,5402.6,0.76,False,auto_approved,complete,[],False,2032-08-05
inv-d175fd30dc,rechnung_041.pdf,2026-02-02T19:49:40.376770+00:00,UBS Business Solutions AG,CH,fr,CHF,RE-2024-00041,2025-09-10,2025-10-10,CH3608387000001080173,CHE-345.678.901 MWST,8860,8.1,717.66,9577.66,0.66,True,manual_review,manual_review,"[""invoice_date""]",False,2032-09-08
inv-f7b3ce003e,rechnung_042.pdf,2025-10-12T19:49:40.376781+00:00,Kaufland E-Commerce GmbH,DE,de,EUR,RE-2024-00042,2025-10-06,2025-11-05,DE91200000001234567890,DE814444444,1910,7.0,133.7,2043.7,0.74,True,manual_review,manual_review,"[""invoice_date""]",False,2032-10-04
inv-fbdfbbe075,rechnung_043.pdf,2025-06-14T19:49:40.376791+00:00,Wien Tech Consulting KG,AT,de,EUR,RE-2024-00043,2025-06-10,2025-07-10,AT611904300234573201,ATU12345678,13030,20.0,2606.0,15636.0,0.57,True,manual_review,manual_review,"[""vendor_name"", ""total_gross""]",False,2032-06-08
inv-b2b47cddc2,rechnung_044.pdf,2026-01-03T19:49:40.376803+00:00,Kaufland E-Commerce GmbH,DE,de,EUR,RE-2024-00044,2026-03-16,2026-04-15,DE91200000001234567890,DE814444444,1380,7.0,96.6,1476.6,0.87,False,auto_approved,complete,[],False,2033-03-14
inv-ffe36ec4d6,rechnung_045.pdf,2026-02-06T19:49:40.376812+00:00,SAP Beratung GmbH,DE,de,EUR,RE-2024-00045,2025-10-06,2025-11-05,DE89500105178221550006,DE812222222,3260,19.0,619.4,3879.4,0.75,False,auto_approved,complete,[],False,2032-10-04
inv-81cd7e999d,rechnung_046.pdf,2025-09-26T19:49:40.376824+00:00,Bosch Rexroth AG,DE,de,EUR,RE-2024-00046,2026-04-02,2026-05-02,DE27200505501265584170,DE814711817,7210,19.0,1369.9,8579.9,0.93,False,auto_approved,complete,[],False,2033-03-31
inv-c9c521efe4,rechnung_047.pdf,2026-03-24T19:49:40.376835+00:00,Swiss Re Management AG,CH,de,CHF,RE-2024-00047,2025-08-07,2025-09-06,CH5604835012345678009,CHE-234.567.890 MWST,1920,8.1,155.52,2075.52,0.84,False,auto_approved,complete,[],False,2032-08-05
inv-ee0fe7f224,rechnung_048.pdf,2025-10-17T19:49:40.376845+00:00,Weber & Söhne Steuerberatung,DE,de,EUR,RE-2024-00048,2026-01-21,2026-02-20,DE21500105175688870004,DE815555555,2910,19.0,552.9,3462.9,0.76,False,auto_approved,complete,[],False,2033-01-19
inv-72f23ec6cd,rechnung_049.pdf,2025-12-26T19:49:40.376854+00:00,Deutsche Telekom IT GmbH,DE,de,EUR,RE-2024-00049,2025-10-23,2025-11-22,DE68210501700012345678,DE811234567,2890,19.0,549.1,3439.1,0.55,True,manual_review,manual_review,"[""vendor_name"", ""total_gross""]",False,2032-10-21
inv-50449ef92a,rechnung_050.pdf,2025-06-06T19:49:40.376866+00:00,Wien Tech Consulting KG,AT,de,EUR,RE-2024-00050,2025-07-30,2025-08-29,AT611904300234573201,ATU12345678,4640,20.0,928.0,5568.0,0.86,False,auto_approved,complete,[],False,2032-07-28
inv-39ab9a96e4,rechnung_051.pdf,2025-07-18T19:49:40.376878+00:00,Helvetia Versicherungen AG,CH,de,CHF,RE-2024-00051,2026-01-19,2026-02-18,CH2309000000100013534,CHE-678.901.234 MWST,7560,8.1,612.36,8172.36,0.63,True,manual_review,manual_review,"[""vendor_name"", ""total_gross""]",False,2033-01-17
inv-c84f959e50,rechnung_052.pdf,2025-09-08T19:49:40.376919+00:00,Zürich Data Solutions AG,CH,it,CHF,RE-2024-00052,2026-04-15,2026-05-15,CH9300762011623852957,CHE-123.456.789 MWST,1380,8.1,111.78,1491.78,0.69,True,manual_review,manual_review,"[""invoice_date""]",False,2033-04-13
inv-9161b6aa04,rechnung_053.pdf,2025-08-23T19:49:40.376940+00:00,A1 Telekom Österreich AG,AT,de,EUR,RE-2024-00053,2026-04-11,2026-05-11,AT141200000010007342,ATU45678901,13830,20.0,2766.0,16596.0,0.78,False,auto_approved,complete,[],False,2033-04-09
inv-a52306fec9,rechnung_054.pdf,2025-05-30T19:49:40.376954+00:00,Bayer Business Services,DE,de,EUR,RE-2024-00054,2026-04-06,2026-05-06,DE21200400600228481800,DE813333333,12840,19.0,2439.6,15279.6,0.58,True,manual_review,manual_review,"[""vendor_name"", ""total_gross""]",False,2033-04-04
inv-8dbe21b057,rechnung_055.pdf,2026-01-04T19:49:40.376970+00:00,Weber & Söhne Steuerberatung,DE,de,EUR,RE-2024-00055,2025-07-23,2025-08-22,DE21500105175688870004,DE815555555,6350,19.0,1206.5,7556.5,0.96,False,auto_approved,complete,[],False,2032-07-21
inv-c271db7e42,rechnung_056.pdf,2025-07-16T19:49:40.376983+00:00,Nestlé Suisse SA,CH,it,CHF,RE-2024-00056,2025-10-08,2025-11-07,CH5604835012345678009,CHE-456.789.012 MWST,9120,2.6,237.12,9357.12,0.82,False,auto_approved,complete,[],False,2032-10-06
inv-ca013581df,rechnung_057.pdf,2025-12-01T19:49:40.376994+00:00,UBS Business Solutions AG,CH,it,CHF,RE-2024-00057,2026-01-26,2026-02-25,CH3608387000001080173,CHE-345.678.901 MWST,8080,8.1,654.48,8734.48,0.96,False,auto_approved,complete,[],False,2033-01-24
inv-f742e10efa,rechnung_058.pdf,2025-12-08T19:49:40.377007+00:00,Weber & Söhne Steuerberatung,DE,de,EUR,RE-2024-00058,2025-06-14,2025-07-14,DE21500105175688870004,DE815555555,4350,19.0,826.5,5176.5,0.61,True,manual_review,manual_review,"[""vendor_name"", ""total_gross""]",False,2032-06-12
inv-bd902e4861,rechnung_059.pdf,2026-05-06T19:49:40.377018+00:00,Wien Tech Consulting KG,AT,de,EUR,RE-2024-00059,2026-04-03,2026-05-03,AT611904300234573201,ATU12345678,5080,20.0,1016.0,6096.0,0.88,False,auto_approved,complete,[],False,2033-04-01
inv-17b27d224e,rechnung_060.pdf,2026-04-03T19:49:40.377029+00:00,Wien Tech Consulting KG,AT,de,EUR,RE-2024-00060,2026-03-20,2026-04-19,AT611904300234573201,ATU12345678,9510,20.0,1902.0,11412.0,0.8,False,auto_approved,complete,[],False,2033-03-18
